사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019122200100292,2019년 12월 22일 15시,일요일,경기도 수원시 권선구 곡반정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,51세,경상
2019122200100344,2019년 12월 22일 17시,일요일,경기도 수원시 장안구 영화동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,54세,상해없음,자전거,남,78세,중상
2019122200100381,2019년 12월 22일 18시,일요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,남,29세,경상
2019122200100382,2019년 12월 22일 18시,일요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,50세,경상,승용,남,66세,상해없음
2019122200100460,2019년 12월 22일 20시,일요일,경기도 수원시 팔달구 지동,중상사고,0,1,3,3,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승합,남,65세,상해없음,승합,남,55세,경상
2019122200100499,2019년 12월 22일 22시,일요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,2,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,62세,부상신고,승용,여,32세,경상
2019122300100032,2019년 12월 23일 00시,월요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,29세,상해없음,보행자,남,45세,중상
2019122300100056,2019년 12월 23일 02시,월요일,경기도 수원시 팔달구 매산로3가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,25세,경상
2019122300100074,2019년 12월 23일 05시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 기타,신호위반,젖음/습기,비,단일로 - 지하차도(도로)내,기타불명,기타불명,미분류,기타불명,승용,여,57세,경상
2019122300100083,2019년 12월 23일 06시,월요일,경기도 수원시 팔달구 화서동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,60세,상해없음,승용,남,62세,경상
2019122300100127,2019년 12월 23일 08시,월요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,여,14세,경상
2019122300100131,2019년 12월 23일 08시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로부근,승용,여,47세,상해없음,승용,남,54세,경상
2019122300100298,2019년 12월 23일 13시,월요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,56세,경상
2019122300100367,2019년 12월 23일 15시,월요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,79세,기타불명,보행자,여,62세,경상
2019122300100369,2019년 12월 23일 15시,월요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,23세,중상
2019122300100442,2019년 12월 23일 17시,월요일,경기도 수원시 팔달구 고등동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,15세,경상
2019122300100486,2019년 12월 23일 18시,월요일,경기도 수원시 장안구 영화동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,45세,부상신고,승용,여,29세,상해없음
2019122300100493,2019년 12월 23일 18시,월요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,이륜,남,25세,경상,승용,남,30세,상해없음
2019122300100542,2019년 12월 23일 19시,월요일,경기도 수원시 장안구 파장동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,45세,중상,승용,여,59세,경상
2019122300100638,2019년 12월 23일 22시,월요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,34세,경상
2019122300100657,2019년 12월 23일 23시,월요일,경기도 수원시 장안구 천천동,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,승용,여,50세,경상
2019122300100659,2019년 12월 23일 23시,월요일,경기도 수원시 팔달구 우만동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,66세,중상
2019122400100067,2019년 12월 24일 02시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,37세,경상
2019122400100089,2019년 12월 24일 05시,화요일,경기도 수원시 팔달구 고등동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,67세,기타불명,보행자,남,51세,부상신고
2019122400100098,2019년 12월 24일 06시,화요일,경기도 수원시 팔달구 중동,경상사고,0,0,1,2,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,40세,경상,승용,남,20세,부상신고
2019122400100148,2019년 12월 24일 08시,화요일,경기도 수원시 팔달구 우만동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,53세,상해없음,승용,남,63세,경상
2019122400100254,2019년 12월 24일 11시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,이륜,남,46세,상해없음,승용,여,62세,경상
2019122400100351,2019년 12월 24일 14시,화요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,69세,상해없음,승용,남,34세,경상
2019122400100435,2019년 12월 24일 16시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,승용,여,53세,경상
2019122400100604,2019년 12월 24일 19시,화요일,경기도 수원시 장안구 조원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,보행자,여,66세,중상
2019122400100655,2019년 12월 24일 20시,화요일,경기도 수원시 권선구 당수동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,남,49세,경상
2019122400100690,2019년 12월 24일 21시,화요일,경기도 수원시 팔달구 매산로1가,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,53세,부상신고
2019122400100728,2019년 12월 24일 23시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,기타 - 기타,승용,남,55세,상해없음,이륜,남,28세,경상
2019122500100061,2019년 12월 25일 04시,수요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,남,24세,경상
2019122500100062,2019년 12월 25일 04시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,50세,경상
2019122500100092,2019년 12월 25일 07시,수요일,경기도 수원시 장안구 연무동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,75세,중상
2019122500100125,2019년 12월 25일 10시,수요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,72세,상해없음,승용,남,30세,경상
2019122500100143,2019년 12월 25일 11시,수요일,경기도 수원시 권선구 오목천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,남,63세,상해없음,승용,여,42세,경상
2019122500100246,2019년 12월 25일 15시,수요일,경기도 수원시 권선구 서둔동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,68세,부상신고
2019122500100247,2019년 12월 25일 15시,수요일,경기도 수원시 권선구 금곡동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,남,60세,중상
2019122500100290,2019년 12월 25일 17시,수요일,경기도 수원시 팔달구 북수동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,승용,남,41세,상해없음
2019122500100294,2019년 12월 25일 17시,수요일,경기도 수원시 권선구 곡반정동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,27세,경상
