사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021122800100252,2021년 12월 28일 14시,화요일,경기도 수원시 권선구 금곡동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,32세,상해없음,승용,남,37세,경상
2021122800100449,2021년 12월 28일 20시,화요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,22세,부상신고
2021122800100450,2021년 12월 28일 20시,화요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,이륜,남,55세,상해없음,승용,남,31세,경상
2021122800100483,2021년 12월 28일 21시,화요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,남,32세,경상
2021122800100492,2021년 12월 28일 21시,화요일,경기도 수원시 권선구 평동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,승용,남,26세,경상
2021122800100527,2021년 12월 28일 22시,화요일,경기도 수원시 영통구 망포동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,여,48세,경상
2021122900100205,2021년 12월 29일 13시,수요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,특수,남,32세,경상
2021122900100237,2021년 12월 29일 14시,수요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,21세,경상
2021122900100303,2021년 12월 29일 16시,수요일,경기도 수원시 장안구 조원동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,65세,부상신고,승합,남,74세,상해없음
2021122900100348,2021년 12월 29일 17시,수요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,57세,상해없음,승용,남,32세,경상
